what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1503716818082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1503716823673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1503716841323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716843451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716855205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716859451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716860864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716872301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1503716874466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716878675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716972979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1503716976063
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1503716977895
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1503716977910
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1503716979168
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1503716979470
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1503716979627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503716981476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503717339469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1503717343544
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1503717377999
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1503717380075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1503717383520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1503717401591
